Date, Open, High, Low, Close, Volume
01/26/18, 261.33, 263.37, 260.97, 263.36, 2857269
01/25/18, 261.17, 261.22, 259.53, 260.33, 3585564
01/24/18, 261.03, 261.63, 259.0185, 260.21, 2935509
01/23/18, 259.84, 260.63, 259.51, 260.34, 2161081
01/22/18, 257.45, 259.78, 257.45, 259.75, 1607788
01/19/18, 257.15, 257.69, 256.53, 257.68, 2541164
01/18/18, 256.84, 257.27, 256.02, 256.59, 3154233
01/17/18, 255.50, 257.35, 254.742, 256.94, 1867698
01/16/18, 256.79, 257.3983, 253.8001, 254.48, 3719563
01/12/18, 254.03, 255.56, 253.90, 255.41, 2054913
01/11/18, 252.47, 253.73, 252.33, 253.73, 2280293
01/10/18, 251.51, 252.17, 250.82, 251.87, 1953626
01/09/18, 252.18, 252.9425, 251.91, 252.30, 2129810
01/08/18, 251.16, 251.88, 250.87, 251.77, 2476193
01/05/18, 250.46, 251.40, 249.95, 251.25, 2190162
01/04/18, 249.27, 250.12, 249.1699, 249.65, 2918028
01/03/18, 247.24, 248.70, 247.18, 248.56, 2917652
01/02/18, 246.15, 247.09, 245.7361, 247.09, 2784283
12/29/17, 246.76, 246.77, 245.03, 245.29, 2326724
12/28/17, 246.13, 246.205, 245.77, 246.14, 2346711
12/27/17, 245.71, 246.02, 245.38, 245.68, 1379426
12/26/17, 245.66, 245.71, 245.26, 245.54, 1492258
12/22/17, 247.09, 247.13, 246.44, 247.01, 1888511
12/21/17, 247.22, 247.81, 246.8159, 247.06, 2262361
12/20/17, 247.72, 247.77, 246.27, 246.56, 2569992
12/19/17, 247.92, 247.95, 246.63, 246.75, 3170296
12/18/17, 247.52, 248.01, 247.45, 247.65, 2089580
12/15/17, 245.15, 246.55, 245.065, 246.12, 3170751
12/14/17, 245.40, 245.48, 244.00, 244.07, 1932948
12/13/17, 245.36, 245.7999, 244.9701, 245.04, 1808436
12/12/17, 244.94, 245.58, 244.6901, 245.10, 1854983
12/11/17, 243.94, 244.71, 243.90, 244.68, 2513268
12/08/17, 243.45, 243.92, 243.20, 243.89, 1685660
12/07/17, 241.69, 242.91, 241.55, 242.57, 2670007
12/06/17, 241.45, 242.26, 241.33, 241.77, 1204971
12/05/17, 242.91, 243.5799, 241.6296, 241.78, 1886330
12/04/17, 244.70, 245.07, 242.59, 242.64, 2162294
12/01/17, 243.25, 243.71, 239.521, 242.90, 3775569
11/30/17, 242.30, 244.40, 242.23, 243.35, 5451711
11/29/17, 241.60, 242.18, 240.84, 241.33, 2442133
11/28/17, 239.59, 241.48, 239.44, 241.42, 1800522
11/27/17, 239.19, 239.53, 238.83, 239.05, 2654255
11/24/17, 239.12, 239.28, 238.99, 239.12, 1219347
11/22/17, 238.86, 238.95, 238.44, 238.62, 2143705
11/21/17, 238.06, 239.00, 238.00, 238.79, 1151522
11/20/17, 237.12, 237.47, 236.86, 237.21, 1420439
11/17/17, 237.17, 237.39, 236.79, 236.90, 1370466
11/16/17, 236.52, 237.928, 236.50, 237.54, 1072436
11/15/17, 235.74, 236.2438, 234.82, 235.53, 2436152
11/14/17, 236.44, 236.85, 235.64, 236.74, 2763302
11/13/17, 236.33, 237.5165, 236.31, 237.32, 900410
11/10/17, 236.72, 237.18, 236.40, 237.04, 1018980
11/09/17, 236.73, 237.3368, 235.48, 237.18, 1644276
11/08/17, 237.41, 238.12, 237.15, 238.04, 4710977
11/07/17, 237.89, 238.22, 237.11, 237.69, 1502717
11/06/17, 237.24, 237.89, 237.21, 237.79, 1688740
11/03/17, 236.83, 237.44, 236.34, 237.43, 1934371
11/02/17, 236.45, 236.765, 235.32, 236.64, 1908093
11/01/17, 237.03, 237.39, 236.13, 236.54, 2078341
